"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Strontioperloffite","Strontioperloffite","SrMn<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>","Sr Mn Fe P O H","2015","Approved","Bjarebyite","monoclinic","Sr Mn^2+ Fe^3+ P O H","Splf"
"Strontiopharmacosiderite","Strontiopharmacosiderite","Sr<sub>0.5</sub>Fe<sub>4</sub>[(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>]·4H<sub>2</sub>O","Sr Fe As O H","2013","Approved,Pending publication","Pharmacosiderite","tetragonal","Sr Fe^3+ As^5+ O H","Spsd"
"Strontioruizite","Strontioruizite","Sr<sub>2</sub>Mn<sup>3+</sup><sub>2</sub>Si<sub>4</sub>O<sub>11</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O","Sr Mn Si O H","2017","Approved","Ruizite","monoclinic","Sr Mn^3+ Si O H","Srz"
"Strontiowhitlockite","Strontiowhitlockite","Sr<sub>9</sub>◻Mg(PO<sub>3</sub>OH)(PO<sub>4</sub>)<sub>6</sub>","Sr Mg P O H","1989","Approved","Cerite","hexagonal","Sr Mg P O H","Swht"
"Strunzite","Strunzite","Mn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·6H<sub>2</sub>O","Mn Fe P O H","1957","Approved,Grandfathered","Strunzite","triclinic","Mn^2+ Fe^3+ P O H","Snz"
"Struvite","Struvite","(NH<sub>4</sub>)Mg(PO<sub>4</sub>)·6H<sub>2</sub>O","N H Mg P O","1846","Approved,Grandfathered","Struvite","orthorhombic","N^3- H Mg P O","Suv"
"Struvite-(K)","Struvite-(K)","KMg(PO<sub>4</sub>)·6H<sub>2</sub>O","K Mg P O H","2003","Approved","Struvite","orthorhombic","K Mg P O H","Suv-K"
"Studenitsite","Studenitsite","NaCa<sub>2</sub>B<sub>9</sub>O<sub>14</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O","Na Ca B O H","1994","Approved"," ","monoclinic","Na Ca B O H","Sdn"
"Studtite","Studtite","(UO<sub>2</sub>)(O<sub>2</sub>)(H<sub>2</sub>O)<sub>2</sub>·2H<sub>2</sub>O","U O H","1947","Approved,Grandfathered"," ","monoclinic","U^6+ O H","Stu"
"Stumpflite","Stumpflite","PtSb","Pt Sb","1972","Approved","Nickeline","hexagonal","Pt Sb","Stm"
"Sturmanite","Sturmanite","Ca<sub>6</sub>Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>2.5</sub>[B(OH)<sub>4</sub>](OH)<sub>12</sub>·25H<sub>2</sub>O","Ca Fe S O B H","1981","Approved","Ettringite","hexagonal","Ca Fe^3+ S^6+ O B H","Strm"
"Stützite","Stutzite","Ag<sub>5-x</sub>Te<sub>3</sub> (x = 0.24-0.36)","Ag Te","1878","Approved,Redefined"," ","hexagonal","Ag Te","Stz"
"Suanite","Suanite","Mg<sub>2</sub>B<sub>2</sub>O<sub>5</sub>","Mg B O","1953","Approved"," ","monoclinic","Mg B O","Sua"
"Sudburyite","Sudburyite","PdSb","Pd Sb","1973","Approved","Nickeline","hexagonal","Pd Sb","Sdb"
"Sudoite","Sudoite","Mg<sub>2</sub>Al<sub>3</sub>(Si<sub>3</sub>Al)O<sub>10</sub>(OH)<sub>8</sub>","Mg Al Si O H","1962","Approved,Redefined","Chlorite, Clay","monoclinic","Mg Al Si O H","Sud"
"Sudovikovite","Sudovikovite","PtSe<sub>2</sub>","Pt Se","1995","Approved","Melonite","hexagonal","Pt Se","Svi"
"Suenoite","Suenoite","◻Mn<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Mn Mg Si O H","2019","Approved,Pending publication","Amphibole","orthorhombic","Mn^2+ Mg Si O H","Sue"
"Suessite","Suessite","Fe<sub>3</sub>Si","Fe Si","1979","Approved"," ","cubic","Fe Si","Sss"
"Sugakiite","Sugakiite","Cu(Fe,Ni)<sub>8</sub>S<sub>8</sub>","Cu Fe Ni S","2005","Approved","Pentlandite","tetragonal","Cu Fe Ni S","Sgk"
"Sugilite","Sugilite","KNa<sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(Li<sub>3</sub>Si<sub>12</sub>)O<sub>30</sub>","K Na Fe Li Si O","1974","Approved","Milarite","hexagonal","K Na Fe^3+ Li Si O","Sug"
"Suhailite","Suhailite","(NH<sub>4</sub>)Fe<sup>2+</sup><sub>3</sub>(Si<sub>3</sub>Al)O<sub>10</sub>(OH)<sub>2</sub>","N H Fe Si Al O","2007","Approved","Mica","","N^3- H Fe^2+ Si Al O","Suh"
"Sulfatoredmondite","Sulfatoredmondite","[Pb<sub>8</sub>O<sub>2</sub>Zn(OH)<sub>6</sub>](SO<sub>4</sub>)<sub>4</sub>·6H<sub>2</sub>O","Pb O Zn H S","2022","Approved"," ","monoclinic","Pb^2+ O Zn^2+ H S^6+","Srdm"
"Sulfhydrylbystrite","Sulfhydrylbystrite","Na<sub>5</sub>K<sub>2</sub>Ca[Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>](S<sub>5</sub>)<sup>2-</sup>(SH)<sup>-</sup>","Na K Ca Al Si O S H","2015","Approved","Cancrinite, Cancrinite-sodalite","hexagonal","Na K Ca Al Si O S H","Shbys"
"Sulfoborite","Sulfoborite","Mg<sub>3</sub>[B(OH)<sub>4</sub>]<sub>2</sub>(SO<sub>4</sub>)(OH,F)<sub>2</sub>","Mg B O H S F","1893","Approved,Grandfathered"," ","orthorhombic","Mg B O H S^6+ F","Sbo"
"Sulphohalite","Sulphohalite","Na<sub>6</sub>(SO<sub>4</sub>)<sub>2</sub>ClF","Na S O Cl F","1888","Approved,Grandfathered"," ","cubic","Na S^6+ O Cl F","Slhl"
"Sulphotsumoite","Sulphotsumoite","Bi<sub>3</sub>Te<sub>2</sub>S","Bi Te S","1980","Approved","Tetradymite","hexagonal","Bi Te S","Stsm"
"Sulphur","Sulphur","S","S","0","Approved,Grandfathered","Sulphur","orthorhombic|monoclinic, hexagonal","S","S"
"Sulvanite","Sulvanite","Cu<sub>3</sub>VS<sub>4</sub>","Cu V S","1900","Approved,Grandfathered"," ","cubic","Cu^2+ V^3+ S^2-","Sul"
"Sundiusite","Sundiusite","Pb<sub>10</sub>(SO<sub>4</sub>)O<sub>8</sub>Cl<sub>2</sub>","Pb S O Cl","1979","Approved"," ","monoclinic","Pb^2+ S^6+ O Cl","Sun"
"Suolunite","Suolunite","Ca<sub>2</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>2</sub>·H<sub>2</sub>O","Ca Si O H","1965","Approved"," ","orthorhombic","Ca Si O H","Suo"
"Suredaite","Suredaite","PbSnS<sub>3</sub>","Pb Sn S","1997","Approved"," ","orthorhombic","Pb^2+ Sn^4+ S^2-","Su"
"Surinamite","Surinamite","Mg<sub>3</sub>Al<sub>3</sub>O(Si<sub>3</sub>BeAlO<sub>15</sub>)","Mg Al O Si Be","1974","Approved","Sapphirine","monoclinic","Mg Al O Si Be","Sum"
"Surite","Surite","(Pb,Ca)<sub>3</sub>Al<sub>2</sub>(Si,Al)<sub>4</sub>O<sub>10</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>3</sub>·0.3H<sub>2</sub>O","Pb Ca Al Si O C H","1977","Approved"," ","monoclinic","Pb^2+ Ca Al Si O C H","Sur"
"Sursassite","Sursassite","Mn<sup>2+</sup><sub>2</sub>Al<sub>3</sub>(SiO<sub>4</sub>)(Si<sub>2</sub>O<sub>7</sub>)(OH)<sub>3</sub>","Mn Al Si O H","1926","Approved,Grandfathered","Ardennite","monoclinic","Mn^2+ Al Si O H","Ss"
"Susannite","Susannite","Pb<sub>4</sub>(SO<sub>4</sub>)(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>","Pb S O C H","1845","Approved,Grandfathered"," ","hexagonal","Pb^2+ S^6+ O C H","Sus"
"Suseinargiuite","Suseinargiuite","(Na<sub>0.5</sub>Bi<sub>0.5</sub>)(MoO<sub>4</sub>)","Na Bi Mo O","2014","Approved","Scheelite","tetragonal","Na Bi^3+ Mo^6+ O","Sag"
"Sussexite","Sussexite","Mn<sup>2+</sup>BO<sub>2</sub>(OH)","Mn B O H","1868","Approved,Grandfathered"," ","monoclinic","Mn^2+ B O H","Ssx"
"Suzukiite","Suzukiite","BaV<sup>4+</sup>Si<sub>2</sub>O<sub>7</sub>","Ba V Si O","1978","Approved"," ","orthorhombic","Ba V^4+ Si O","Suz"
"Svabite","Svabite","Ca<sub>5</sub>(AsO<sub>4</sub>)<sub>3</sub>F","Ca As O F","1891","Approved,Grandfathered","Apatite","triclinic|hexagonal","Ca As^5+ O F","Sva"
"Svanbergite","Svanbergite","SrAl<sub>3</sub>(SO<sub>4</sub>)(PO<sub>4</sub>)(OH)<sub>6</sub>","Sr Al S O P H","1854","Approved,Redefined","Alunite-beudantite","hexagonal|rhombohedral","Sr Al S^6+ O P H","Svb"
"Sveinbergeite","Sveinbergeite","(H<sub>2</sub>O)<sub>2</sub>[Ca(H<sub>2</sub>O)](Fe<sup>2+</sup><sub>6</sub>Fe<sup>3+</sup>)Ti<sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>O<sub>2</sub>(OH)<sub>4</sub>[(OH)(H<sub>2</sub>O)]","H O Ca Fe Ti Si","2010","Approved","Astrophyllite-Devitoite","triclinic","H O Ca Fe^2+ Fe^3+ Ti^4+ Si","Sve"
"Sveite","Sveite","KAl<sub>7</sub>(NO<sub>3</sub>)<sub>4</sub>(OH)<sub>16</sub>Cl<sub>2</sub>·8H<sub>2</sub>O","K Al N O H Cl","1980","Approved"," ","monoclinic","K Al N^5+ O H Cl","Sv"
"Švenekite","Svenekite","Ca[AsO<sub>2</sub>(OH)<sub>2</sub>]<sub>2</sub>","Ca As O H","1999","Approved"," ","triclinic","Ca As^5+ O H","Švn"
"Sverigeite","Sverigeite","NaBe<sub>2</sub>Mn<sup>2+</sup><sub>2</sub>SnSi<sub>3</sub>O<sub>12</sub>(OH)","Na Be Mn Sn Si O H","1983","Approved"," ","orthorhombic","Na Be Mn^2+ Sn^4+ Si O H","Svg"
"Svetlanaite","Svetlanaite","SnSe","Sn Se","2020","Approved","Arsenolamprite","orthorhombic","Sn Se","Svl"
"Svornostite","Svornostite","K<sub>2</sub>Mg[(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>]<sub>2</sub>·8H<sub>2</sub>O","K Mg U O S H","2014","Approved","Svornostite","orthorhombic","K Mg U^6+ O S^6+ H","Svo"
"Svyatoslavite","Svyatoslavite","Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>)","Ca Al Si O","1988","Approved"," ","monoclinic|orthorhombic","Ca Al Si O","Svy"
"Svyazhinite","Svyazhinite","MgAl(SO<sub>4</sub>)<sub>2</sub>F·14H<sub>2</sub>O","Mg Al S O F H","1983","Approved","Aubertite","triclinic","Mg Al S^6+ O F H","Svz"
"Swaknoite","Swaknoite","(NH<sub>4</sub>)<sub>2</sub>Ca(PO<sub>3</sub>OH)<sub>2</sub>·H<sub>2</sub>O","N H Ca P O","1991","Approved"," ","orthorhombic","N^3- H Ca P O","Swk"
"Swamboite-(Nd)","Swamboite-(Nd)","Nd<sub>0.333</sub>[(UO<sub>2</sub>)(SiO<sub>3</sub>OH)](H<sub>2</sub>O)<sub>~2.5</sub>","Nd U O Si H","1981","Approved,Redefined"," ","monoclinic","Nd^3+ U^6+ O Si H","Swa-Nd"
"Swartzite","Swartzite","CaMg(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·12H<sub>2</sub>O","Ca Mg U O C H","1951","Approved,Grandfathered"," ","monoclinic","Ca Mg U^6+ O C H","Swz"
"Swedenborgite","Swedenborgite","NaBe<sub>4</sub>Sb<sup>5+</sup>O<sub>7</sub>","Na Be Sb O","1924","Approved,Grandfathered"," ","hexagonal","Na Be Sb^5+ O","Swe"
"Sweetite","Sweetite","Zn(OH)<sub>2</sub>","Zn O H","1983","Approved"," ","tetragonal","Zn^2+ O H","Sw"
"Swinefordite","Swinefordite","Ca<sub>0.2</sub>(Li,Al,Mg,Fe)<sub>3</sub>(Si,Al)<sub>4</sub>O<sub>10</sub>(OH,F)<sub>2</sub>·nH<sub>2</sub>O","Ca Li Al Mg Fe Si O H F","1973","Approved","Clay, Smectite-vermiculite","","Ca Li Al Mg Fe^3+ Fe^2+ Si O H F","Sfd"
"Switzerite","Switzerite","Mn<sup>2+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·7H<sub>2</sub>O","Mn P O H","1966","Approved,Redefined"," ","monoclinic","Mn^2+ P O H","Swt"
"Sylvanite","Sylvanite","AgAuTe<sub>4</sub>","Ag Au Te","1832","Approved,Grandfathered","Melonite","monoclinic","Ag Au Te","Syv"
"Sylvite","Sylvite","KCl","K Cl","1823","Approved,Grandfathered","Rocksalt","cubic","K Cl","Syl"
"Symesite","Symesite","Pb<sub>10</sub>(SO<sub>4</sub>)O<sub>7</sub>Cl<sub>4</sub>·H<sub>2</sub>O","Pb S O Cl H","1998","Approved"," ","triclinic","Pb^2+ S^6+ O Cl H","Sy"
"Symplesite","Symplesite","Fe<sup>2+</sup><sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O","Fe As O H","1837","Approved,Grandfathered","Symplesite","triclinic","Fe^2+ As^5+ O H","Sym"
"Synadelphite","Synadelphite","Mn<sup>2+</sup><sub>9</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>)(OH)<sub>9</sub>·2H<sub>2</sub>O","Mn As O H","1884","Approved,Grandfathered"," ","orthorhombic","Mn^2+ As^3+ O As^5+ H","Syd"
"Synchysite-(Ce)","Synchysite-(Ce)","CaCe(CO<sub>3</sub>)<sub>2</sub>F","Ca Ce C O F","1901","Approved,Renamed"," ","monoclinic","Ca Ce^3+ C O F","Syn-Ce"
"Synchysite-(Nd)","Synchysite-(Nd)","CaNd(CO<sub>3</sub>)<sub>2</sub>F","Ca Nd C O F","1978","Approved,Renamed"," ","orthorhombic","Ca Nd C O F","Syn-Nd"
"Synchysite-(Y)","Synchysite-(Y)","CaY(CO<sub>3</sub>)<sub>2</sub>F","Ca Y C O F","1955","Approved,Renamed"," ","orthorhombic","Ca Y C O F","Syn-Y"
"Syngenite","Syngenite","K<sub>2</sub>Ca(SO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O","K Ca S O H","1872","Approved,Grandfathered","Syngenite","monoclinic","K Ca S^6+ O H","Sgn"
"Szaibélyite","Szaibelyite","MgBO<sub>2</sub>(OH)","Mg B O H","1862","Approved,Grandfathered"," ","monoclinic","Mg B O H","Sza"
"Szenicsite","Szenicsite","Cu<sub>3</sub>(MoO<sub>4</sub>)(OH)<sub>4</sub>","Cu Mo O H","1993","Approved"," ","orthorhombic","Cu^2+ Mo^6+ O H","Sze"
"Szklaryite","Szklaryite","◻Al<sub>6</sub>BAs<sup>3+</sup><sub>3</sub>O<sub>15</sub>","Al B As O","2012","Approved","Dumortierite","orthorhombic","Al B As^3+ O","Sky"
"Szmikite","Szmikite","Mn(SO<sub>4</sub>)·H<sub>2</sub>O","Mn S O H","1877","Approved,Grandfathered","Kieserite","monoclinic","Mn^2+ S^6+ O H","Szm"
"Szomolnokite","Szomolnokite","Fe(SO<sub>4</sub>)·H<sub>2</sub>O","Fe S O H","1891","Approved,Grandfathered","Kieserite","monoclinic","Fe^2+ S^6+ O H","Szo"
"Szymańskiite","Szymanskiite","Hg<sub>16</sub>Ni<sub>6</sub>(CO<sub>3</sub>)<sub>12</sub>(OH)<sub>12</sub>(H<sub>3</sub>O)<sub>8</sub>·3H<sub>2</sub>O","Hg Ni C O H","1989","Approved"," ","hexagonal","Hg^1+ Ni^2+ C O H","Szy"
"Tacharanite","Tacharanite","Ca<sub>12</sub>Al<sub>2</sub>Si<sub>18</sub>O<sub>33</sub>(OH)<sub>36</sub>","Ca Al Si O H","1961","Approved,Grandfathered"," ","monoclinic","Ca Al Si O H","Tch"
"Tachyhydrite","Tachyhydrite","CaMg<sub>2</sub>Cl<sub>6</sub>·12H<sub>2</sub>O","Ca Mg Cl H O","1856","Approved,Grandfathered"," ","hexagonal","Ca Mg Cl H O","Thy"
"Tadzhikite-(Ce)","Tadzhikite-(Ce)","Ca<sub>4</sub>Ce<sub>2</sub>Ti◻(B<sub>4</sub>Si<sub>4</sub>O<sub>22</sub>)(OH)<sub>2</sub>","Ca Ce Ti B Si O H","1969","Approved,Renamed","Hellandite","monoclinic","Ca Ce^3+ Ti^4+ B Si O H","Tad-Ce"
"Taenite","Taenite","(Ni,Fe)","Ni Fe","1861","Approved,Grandfathered"," ","cubic","Fe Ni","Tae"
"Taikanite","Taikanite","BaSr<sub>2</sub>Mn<sup>3+</sup><sub>2</sub>O<sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)","Ba Sr Mn O Si","1984","Approved"," ","monoclinic","Ba Sr Mn^3+ O Si","Tka"
"Taimyrite","Taimyrite","(Pd,Pt)<sub>9</sub>Cu<sub>3</sub>Sn<sub>4</sub>","Pd Pt Cu Sn","1973","Approved,Renamed"," ","orthorhombic","Pd Cu Pt Sn","Tmy-I"
"Tainiolite","Tainiolite","KLiMg<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F<sub>2</sub>","K Li Mg Si O F","1901","Approved,Grandfathered","Mica","monoclinic","K Li Mg Si O F","Tai"
"Taipingite-(CeCa)","Taipingite-(CeCa)","(Ce<sub>7</sub>Ca<sub>2</sub>)◻Mg(SiO<sub>4</sub>)<sub>3</sub>[SiO<sub>3</sub>(OH)]<sub>4</sub>F<sub>3</sub>","Ce Ca Mg Si O H F","2019","Approved,Renamed","Cerite","hexagonal","Ce^3+ Ca Mg Si O H F","Tpg-Ce"
"Takanawaite-(Y)","Takanawaite-(Y)","YTaO<sub>4</sub>","Y Ta O","2011","Approved","Fluorite","monoclinic","Y Ta^5+ O","Tkw-Y"
"Takanelite","Takanelite","(Mn<sup>2+</sup>,Ca)<sub>2x</sub>(Mn<sup>4+</sup>)<sub>1-x</sub>O<sub>2</sub>·0.7H<sub>2</sub>O","Mn Ca O H","1970","Approved"," ","hexagonal","Mn^2+ Ca Mn^4+ O H","Tkn"
"Takedaite","Takedaite","Ca<sub>3</sub>B<sub>2</sub>O<sub>6</sub>","Ca B O","1993","Approved"," ","hexagonal","Ca B O","Tkd"
"Takéuchiite","Takeuchiite","Mg<sub>2</sub>Mn<sup>3+</sup>O<sub>2</sub>(BO<sub>3</sub>)","Mg Mn O B","1980","Approved"," ","orthorhombic","Mg Mn^3+ O B","Tké"
"Takovite","Takovite","Ni<sub>6</sub>Al<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>16</sub>·4H<sub>2</sub>O","Ni Al C O H","1955","Approved","Hydrotalcite","hexagonal","Ni^2+ Al C O H","Tkv"
"Talc","Talc","Mg<sub>3</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>","Mg Si O H","0","Approved,Grandfathered","Clay, Talc","triclinic|monoclinic","Mg Si O H","Tlc"
"Talmessite","Talmessite","Ca<sub>2</sub>Mg(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O","Ca Mg As O H","1960","Approved","Fairfieldite","triclinic","Ca Mg As^5+ O H","Tlm"
"Talnakhite","Talnakhite","Cu<sub>9</sub>Fe<sub>8</sub>S<sub>16</sub>","Cu Fe S","1967","Approved","Chalcopyrite","cubic","Cu Fe S","Tlk"
"Tamaite","Tamaite","(Ca,K,Na)<sub>x</sub>Mn<sub>6</sub>(Si,Al)<sub>10</sub>O<sub>24</sub>(OH)<sub>4</sub>·nH<sub>2</sub>O (x = 1-2; n = 7-11)","Ca K Na Mn Si Al O H","1999","Approved"," ","orthorhombic","Ca K Na Mn^2+ Si Al O H","Tam"
"Tamarugite","Tamarugite","NaAl(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na Al S O H","1889","Approved,Grandfathered","Tamarugite","monoclinic","Na Al S^6+ O H","Tmr"
"Tamboite","Tamboite","Fe<sup>3+</sup><sub>3</sub>(OH)(H<sub>2</sub>O)<sub>2</sub>(SO<sub>4</sub>)(Te<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>[Te<sup>4+</sup>O(OH)<sub>2</sub>](H<sub>2</sub>O)<sub>3</sub>","Fe O H S Te","2016","Approved"," ","monoclinic","Fe^3+ O H S^6+ Te^4+","Tmb"
"Tamuraite","Tamuraite","Ir<sub>5</sub>Fe<sub>10</sub>S<sub>16</sub>","Ir Fe S","2021","Approved","Kuvaevite","hexagonal","Ir Fe S","Tmu"
"Tancaite-(Ce)","Tancaite-(Ce)","FeCe(MoO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O","Fe Ce Mo O H","2009","Approved","Not in a structural group","hexagonal","Fe^3+ Ce^3+ Mo^6+ O H","Tca-Ce"
"Tancoite","Tancoite","LiNa<sub>2</sub>Al(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)","Li Na Al P O H","1979","Approved"," ","orthorhombic","Li Na Al P O H","Tco"
"Taneyamalite","Taneyamalite","(Na,Ca)Mn<sup>2+</sup><sub>12</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>44</sub>","Na Ca Mn Si Al O H","1977","Approved"," ","triclinic","Na Ca Mn^2+ Si Al O H","Tny"
"Tangdanite","Tangdanite","Ca<sub>2</sub>Cu<sub>9</sub>(AsO<sub>4</sub>)<sub>4</sub>(SO<sub>4</sub>)<sub>0.5</sub>(OH)<sub>9</sub>·9H<sub>2</sub>O","Ca Cu As O S H","2011","Approved","Tyrolite","monoclinic","Ca Cu^2+ As^5+ O S^6+ H","Tdn"
"Tangeite","Tangeite","CaCu(VO<sub>4</sub>)(OH)","Ca Cu V O H","1926","Approved,Renamed","Adelite","orthorhombic","Ca Cu^2+ V^5+ O H","Tg"
"Taniajacoite","Taniajacoite","SrCaMn<sup>3+</sup><sub>2</sub>Si<sub>4</sub>O<sub>11</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O","Sr Ca Mn Si O H","2014","Approved","Ruizite","triclinic","Sr Ca Mn^3+ Si O H","Tjc"
"Tanohataite","Tanohataite","LiMn<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH)","Li Mn Si O H","2007","Approved","Pectolite","triclinic","Li Mn^2+ Si O H","Tnh"
"Tantalaeschynite-(Y)","Tantalaeschynite-(Y)","Y(Ta,Ti,Nb)<sub>2</sub>O<sub>6</sub>","Y Ta Ti Nb O","1969","Approved,Renamed","Aeschynite","orthorhombic","Y Ta^5+ Ti^4+ Nb^5+ O","Taes-Y"
"Tantalcarbide","Tantalcarbide","TaC","Ta C","1909","Approved,Grandfathered"," ","cubic","Ta C","Tcb"
"Tantalite-(Fe)","Tantalite-(Fe)","Fe<sup>2+</sup>Ta<sub>2</sub>O<sub>6</sub>","Fe Ta O","1836","Approved,Renamed","Columbite","orthorhombic","Fe^2+ Ta^5+ O","Ttl-Fe"
"Tantalite-(Mg)","Tantalite-(Mg)","MgTa<sub>2</sub>O<sub>6</sub>","Mg Ta O","2002","Approved,Renamed","Columbite","orthorhombic","Mg Ta^5+ O","Ttl-Mg"
"Tantalite-(Mn)","Tantalite-(Mn)","Mn<sup>2+</sup>Ta<sub>2</sub>O<sub>6</sub>","Mn Ta O","1877","Approved,Renamed","Columbite","orthorhombic","Mn^2+ Ta^5+ O","Ttl-Mn"
"Tantalowodginite","Tantalowodginite","(Mn,◻)TaTa<sub>2</sub>O<sub>8</sub>","Mn Ta O","2018","Approved","Columbite","monoclinic","Mn^2+ Ta^5+ O","Ttwdg"
"Tanteuxenite-(Y)","Tanteuxenite-(Y)","Y(TaTi)O<sub>6</sub>","Y Ta Ti O","1928","Approved,Redefined,Renamed","Columbite","","Y Ta^5+ Ti^4+ O","Ttx-Y"
"Tantite","Tantite","Ta<sub>2</sub>O<sub>5</sub>","Ta O","1982","Approved"," ","monoclinic","Ta O","Tan"
"Tapiaite","Tapiaite","Ca<sub>5</sub>Al<sub>2</sub>(AsO<sub>4</sub>)<sub>4</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O","Ca Al As O H","2014","Approved","Not in a structural group","monoclinic","Ca Al As^5+ O H","Tpi"
"Tapiolite-(Fe)","Tapiolite-(Fe)","Fe<sup>2+</sup>Ta<sub>2</sub>O<sub>6</sub>","Fe Ta O","1863","Approved,Renamed","Tapiolite","tetragonal","Fe^2+ Ta^5+ O","Tap-Fe"
"Tapiolite-(Mn)","Tapiolite-(Mn)","Mn<sup>2+</sup>Ta<sub>2</sub>O<sub>6</sub>","Mn Ta O","1983","Approved,Renamed","Tapiolite","tetragonal","Mn^2+ Ta^5+ O","Tap-Mn"
"Taramellite","Taramellite","Ba<sub>4</sub>(Fe<sup>3+</sup>,Ti)<sub>4</sub>O<sub>2</sub>[B<sub>2</sub>Si<sub>8</sub>O<sub>27</sub>]Cl<sub>x</sub>","Ba Fe Ti O B Si Cl","1908","Approved,Grandfathered"," ","orthorhombic","Ba Fe^3+ Ti^4+ O B Si Cl","Tmel"
"Taramite","Taramite","Na(NaCa)(Mg<sub>3</sub>Al<sub>2</sub>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","Na Ca Mg Al Si O H","1925","Approved,Redefined","Amphibole","monoclinic","Na Ca Mg Al Si O H","Trm"
"Taranakite","Taranakite","K<sub>3</sub>Al<sub>5</sub>(PO<sub>3</sub>OH)<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>·18H<sub>2</sub>O","K Al P O H","1865","Approved,Grandfathered","Taranakite","hexagonal","K Al P O H","Tar"
"Tarapacáite","Tarapacaite","K<sub>2</sub>(CrO<sub>4</sub>)","K Cr O","1878","Approved,Grandfathered"," ","orthorhombic","K Cr^6+ O","Tpc"
"Tarbagataite","Tarbagataite","(K◻)CaFe<sup>2+</sup><sub>7</sub>Ti<sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>O<sub>2</sub>(OH)<sub>5</sub>","K Ca Fe Ti Si O H","2010","Approved","Astrophyllite-Astrophyllite","triclinic","K Ca Fe^2+ Ti^4+ Si O H","Tbg"
"Tarbuttite","Tarbuttite","Zn<sub>2</sub>(PO<sub>4</sub>)(OH)","Zn P O H","1907","Approved,Grandfathered","Tarbuttite","triclinic","Zn^2+ P O H","Tbt"
"Tarkianite","Tarkianite","(Cu,Fe)(Re,Mo)<sub>4</sub>S<sub>8</sub>","Cu Fe Re Mo S","2003","Approved"," ","cubic","Cu Fe Re Mo S","Trk"
"Taseqite","Taseqite","Na<sub>12</sub>Sr<sub>3</sub>Ca<sub>6</sub>Fe<sub>3</sub>Zr<sub>3</sub>NbSi<sub>25</sub>O<sub>73</sub>(O,OH,H<sub>2</sub>O)<sub>3</sub>Cl<sub>2</sub>","Na Sr Ca Fe Zr Nb Si O H Cl","2002","Approved","Eudialyte","hexagonal","Na Sr Ca Fe^2+ Zr^4+ Nb^5+ Si O H Cl","Tsq"
"Tashelgite","Tashelgite","CaMgFe<sup>2+</sup>Al<sub>9</sub>O<sub>16</sub>(OH)","Ca Mg Fe Al O H","2010","Approved","Not in a structural group","monoclinic","Ca Mg Fe^2+ Al O H","Thg"
